System,Dataset,MAE_1e_08,RMSE_1e_08,MAPE_1e_08,MAE_1e_05,RMSE_1e_05,MAPE_1e_05,MAE_1_0,RMSE_1_0,MAPE_1_0,MAE_10_0,RMSE_10_0,MAPE_10_0,Best_Ridge,MAE_Best,RMSE_Best,MAPE_Best
svg-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,svg-medium-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.026365,0.033044,0.017134,0.026365,0.033044,0.017134,0.026365,0.033044,0.017134,0.026365,0.033044,0.017133,2.554043,0.026365,0.033044,0.017133
svg-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,svg-small-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.020365,0.025455,0.036147,0.020365,0.025455,0.036147,0.020365,0.025454,0.036148,0.020371,0.025454,0.036160,2.554043,0.020366,0.025454,0.036150
smallbank-1-weka.filters.unsupervised.attribute.ReplaceMissingValues,smallbank-1-weka.filters.unsupervised.attribute.ReplaceMissingValues,1115.960272,1332.087585,0.056937,1115.960271,1332.087584,0.056937,1115.843997,1331.945877,0.056925,1115.329175,1331.232530,0.056839,4.050736,1115.855480,1331.932313,0.056901
smallbank-10-weka.filters.unsupervised.attribute.ReplaceMissingValues,smallbank-10-weka.filters.unsupervised.attribute.ReplaceMissingValues,627.718188,763.121284,0.046027,627.718187,763.121283,0.046027,627.593122,763.028490,0.046009,626.655648,762.494436,0.045858,1.129795,627.577115,763.016956,0.046007
tpcc-2-weka.filters.unsupervised.attribute.ReplaceMissingValues,tpcc-2-weka.filters.unsupervised.attribute.ReplaceMissingValues,30.745731,37.973879,0.042077,30.745731,37.973879,0.042077,30.741363,37.971795,0.042068,30.699155,37.967400,0.041974,4.050736,30.729219,37.966223,0.042040
tpcc-8-weka.filters.unsupervised.attribute.ReplaceMissingValues,tpcc-8-weka.filters.unsupervised.attribute.ReplaceMissingValues,109.534200,164.298660,0.211193,109.534199,164.298660,0.211193,109.531258,164.295571,0.211173,109.506557,164.268601,0.210993,4.050736,109.522421,164.286262,0.211111
voter-16-weka.filters.unsupervised.attribute.ReplaceMissingValues,voter-16-weka.filters.unsupervised.attribute.ReplaceMissingValues,2410.742059,2683.857038,0.076154,2410.742057,2683.857036,0.076154,2410.624792,2683.673594,0.076118,2409.643312,2682.930348,0.075802,1.129795,2410.609771,2683.651317,0.076114
voter-2-weka.filters.unsupervised.attribute.ReplaceMissingValues,voter-2-weka.filters.unsupervised.attribute.ReplaceMissingValues,2529.362187,2812.060003,0.080259,2529.362187,2812.060001,0.080259,2529.391278,2811.896922,0.080228,2529.573526,2811.325785,0.079948,1.129795,2529.394920,2811.877270,0.080224
ycsb-2400-weka.filters.unsupervised.attribute.ReplaceMissingValues,ycsb-2400-weka.filters.unsupervised.attribute.ReplaceMissingValues,1279.991565,1577.392079,0.091324,1279.991563,1577.392079,0.091324,1279.845995,1577.358549,0.091312,1278.560147,1577.098024,0.091212,4.050736,1279.404317,1577.262005,0.091278
ycsb-600-weka.filters.unsupervised.attribute.ReplaceMissingValues,ycsb-600-weka.filters.unsupervised.attribute.ReplaceMissingValues,1672.375247,2059.014738,0.084411,1672.375246,2059.014739,0.084411,1672.335232,2059.084135,0.084415,1671.985472,2059.762846,0.084452,4.050736,1672.215227,2059.303373,0.084427
beethoven.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,beethoven.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,2.269644,2.902035,0.259199,2.269644,2.902035,0.259199,2.269596,2.902037,0.259186,2.269210,2.902085,0.259079,5.267520,2.269395,2.902051,0.259130
